"reference_path","output_path","sha256","comparison","abs_tolerance","rel_tolerance","notes"
"reference/accepted/appendix_tables/C22_nonviolent_final_body.csv","output/tables/appendix/C22_nonviolent_final_body.csv","90c6c49cb136a5cd3bba9ce8fb6024d4396ebbb7f47127814f18ad4b5572fcd5","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/C25_power_final_body.csv","output/tables/appendix/C25_power_table_body.csv","03a87c75ca8563b37bc471188e5c28a8c49bb702f3a9df519df646af2f8d2399","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H1_sensitivity_appendix_table_body.csv","output/tables/appendix/H1_sensitivity_appendix_table_body.csv","30ee98a58b4db98525fc850c5eac283d7cb93b439fc0b35397facbf493bb5c52","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H1_strict_success_appendix_table_body.csv","output/tables/appendix/H1_strict_success_appendix_table_body.csv","fa526214b6f3da33e713fe8795906bb1bf12ec6afcc73f433dfa021ca56f4723","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H21_curvi_appendix_table_body.csv","output/tables/appendix/H21_curvi_appendix_table_body.csv","e9862bb8260e97b57ac70e7b824cbeeef739195a0e99187db8ac803c8a4d2d23","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H21_limited_success_table_body.csv","output/tables/appendix/H21_limited_success_table_body.csv","e03c76812ad2cb71fca5eda0247033840e25eca3f6c98dfeaadec58e0d70c975","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H21_rest_appendix_table_body.csv","output/tables/appendix/H21_rest_appendix_table_body.csv","a2c97929287f4275cdb528f25377dd800bf3a0579b2ecb7ff21bce063f35d98e","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H21_strict_success_table_body.csv","output/tables/appendix/H21_strict_success_table_body.csv","7f7bbe6316422ef87cc3ae72f74ced7c2ec3eab9adb6c31281d17ecd75c97f7b","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H22_concession_campaign_table_body.csv","output/tables/appendix/H22_concession_campaign_table_body.csv","99f65e8ef593c9559918bef06b8c6cf3e327185dfbb625ecd01324f0cfd4cbc9","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H22_concession_campaign_year_table_body.csv","output/tables/appendix/H22_concession_campaign_year_table_body.csv","acf4fc6aa64baf7fd238be482cffaf0b6b43d51143e6746551fad24732d74b5e","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H22_quadratic_campaign_table_body.csv","output/tables/appendix/H22_quadratic_campaign_table_body.csv","0c4973a84774409a56845c7906464203929047c3fddceaf289e5eb293a13aefd","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H22_quadratic_campaign_year_table_body.csv","output/tables/appendix/H22_quadratic_campaign_year_table_body.csv","aca260a0afbf788cb25b06eb79bd1eba04a7bd6e7da7f11f31b2f36e2bf20d85","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H22_rest_ordered_table_body.csv","output/tables/appendix/H22_rest_ordered_table_body.csv","32c23b85fa7dfa630e1e941b5181a9106fd04754cfab36dd8b1574ce6d3fae80","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H22_rest_robustness_table_body.csv","output/tables/appendix/H22_rest_robustness_table_body.csv","bf8e73e6f9ddac909c2c655a6e6fd5e27c805e345944de1ea76c1e8ab6aea5e5","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H22_strict_success_campaign_table_body.csv","output/tables/appendix/H22_strict_success_campaign_table_body.csv","f9881860543ec45c74fa09d1abd6d5e177e5a52c4f6f1c611d2a63443c17eda8","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H22_strict_success_campaign_year_table_body.csv","output/tables/appendix/H22_strict_success_campaign_year_table_body.csv","9e93aa1bba8faa8a366fe2c680cb0b00092c850ebd8539f257c72a427b809258","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H3_additional_moderators_table_body.csv","output/tables/appendix/H3_additional_moderators_table_body.csv","033e8b8b8955620ad3ce53e42ef31d03fceca4e8d48d330e62664acb2ae2844f","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H3_campaign_year_concession_table_body.csv","output/tables/appendix/H3_campaign_year_concession_table_body.csv","bcf65cbe2770b6890e08fc35e5eae7cd5f0b477f39c80e09cfea2d1922c2f213","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H3_campaign_year_strict_table_body.csv","output/tables/appendix/H3_campaign_year_strict_table_body.csv","fb6792e58c145568d0a263738763ab847817e9989c718bf2637d768093ec666b","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H3_ordered_table_body.csv","output/tables/appendix/H3_ordered_table_body.csv","4d98fe1e457a462a49e6991743ecc80419007af209a342ce9218ba3e743ce23c","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H3_sensitivity_table_body.csv","output/tables/appendix/H3_sensitivity_table_body.csv","a789bc76c943352df3e7eb2d4135ffef4543abe90ac0869e49aef970fe044193","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/H3_strict_success_campaign_table_body.csv","output/tables/appendix/H3_strict_success_campaign_table_body.csv","8a867754277fdcc452a13386353183f5bdc8622ad52ce7b766ddd4b3a65cd569","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/appendix_A2_success_dv_table_body.csv","output/tables/appendix/appendix_A2_success_dv_table_body.csv","a0dd2db421253239e66216f7761ddfab2d454938af750783a566f445e6d77d34","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/appendix_A4_sensemakr_bounds_table_body.csv","output/tables/appendix/appendix_A4_sensemakr_bounds_table_body.csv","f4a9522cebd6f8006ae176f6234d75cab81d0e94a925147280c2bf90dcb087b5","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/appendix_A5_ongoing_sensitivity_table_body.csv","output/tables/appendix/appendix_A5_ongoing_sensitivity_table_body.csv","122b5cfb4da1c204ceb3f7c24c77fbd7e13aa064e30ea574bb45f8daad38b66d","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/inference_diagnostics_cox_ph_table_body.csv","output/tables/appendix/C26_panel_1_table_body.csv","338076e210c2d29745101df23fbb590006a7c825c2410d10c8203ded913cf693","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
"reference/accepted/appendix_tables/inference_diagnostics_cox_power_quarantine_table_body.csv","output/tables/appendix/C26_panel_2_table_body.csv","dcd717b380393f70380cfdb576e4886c8eb72532be547ddfc8e5cd5eee7ed5f3","display_copy",0,0,"accepted_display_copy identity; rebuilt evidence recorded separately"
